study,treatment,responders,sample_size
S001,B,58,180
S001,E,26,91
S002,D,66,145
S002,B,66,145
S002,C,81,192
S003,D,48,135
S003,B,54,111
S004,E,31,79
S004,D,78,178
S004,A,85,165
S005,A,53,111
S005,C,43,108
S005,E,64,162
S006,C,19,61
S006,B,72,179
S006,E,44,130
S007,B,78,178
S007,C,41,117
S007,A,106,194
S008,A,71,146
S008,D,74,142
S009,A,95,196
S009,B,76,177
S009,C,36,91
S010,A,61,139
S010,B,77,189
S010,E,70,196
S011,B,64,142
S011,D,50,103
S011,E,76,191
S012,D,77,177
S012,B,64,164
S013,E,39,100
S013,C,64,196
S013,B,52,95
S014,C,42,86
S014,D,76,144
S014,E,46,116
S015,A,78,153
S015,B,63,135
S015,E,70,179
S016,E,73,186
S016,D,67,148
S017,A,29,57
S017,C,58,193
S017,E,80,192
S018,C,57,135
S018,A,84,174
S018,E,25,64
S019,A,54,102
S019,C,58,152
S020,A,79,165
S020,E,33,101
S020,C,54,155
S021,E,45,139
S021,C,26,72
S022,D,85,189
S022,A,22,50
S023,E,65,138
S023,C,46,118
S023,D,59,135
S024,B,49,118
S024,C,69,193
S025,B,61,150
S025,E,36,118
S026,B,64,145
S026,E,14,51
S027,E,80,189
S027,D,68,150
S028,B,34,78
S028,E,66,179
S028,C,50,130
S029,C,34,124
S029,E,34,70
S029,A,92,187
S030,D,76,148
S030,A,80,145
