study,treatment,responders,sample_size
S001,C,57,160
S001,B,73,153
S001,E,39,99
S002,C,52,148
S002,E,32,81
S002,B,25,79
S003,A,97,184
S003,D,73,167
S003,E,41,108
S004,B,105,167
S004,E,58,104
S005,B,46,124
S005,D,47,155
S005,A,48,118
S006,E,69,145
S006,D,44,79
S007,B,59,173
S007,E,32,81
S008,A,81,163
S008,C,26,74
S008,D,41,77
S009,B,23,68
S009,D,55,169
S009,A,39,86
S010,A,99,190
S010,C,42,124
S010,B,75,150
S011,C,57,155
S011,D,37,69
S012,D,59,189
S012,E,35,130
S012,C,41,195
S013,C,37,165
S013,B,55,166
S013,E,28,97
S014,E,46,180
S014,D,37,138
S015,D,36,96
S015,E,52,171
S016,B,66,162
S016,D,57,154
S017,E,22,53
S017,C,52,168
S017,D,34,78
S018,C,31,60
S018,B,55,103
S018,A,65,90
S019,B,91,198
S019,A,48,79
S019,C,84,146
S020,A,75,185
S020,C,47,154
S020,D,76,186
S021,E,56,102
S021,D,97,139
S021,C,106,173
S022,E,56,143
S022,A,80,177
S022,D,72,172
S023,C,49,100
S023,B,69,163
S023,E,43,95
S024,A,58,129
S024,B,22,85
S024,E,39,108
S025,B,88,184
S025,E,95,189
S025,A,108,185
S026,A,39,89
S026,C,45,107
S027,A,38,67
S027,C,17,64
S028,D,64,186
S028,E,25,53
S029,D,56,93
S029,A,119,181
S029,E,83,148
S030,A,85,158
S030,D,45,82
